Participant,n_per_person_ESM,n_any_con_ESM,n_con_init_ESM,n_con_pers_ESM,n_con_inhi_ESM,freq_con_all_ESM,freq_con_init_ESM,freq_con_pers_ESM,freq_con_inhi_ESM,m_intensity_all_ESM,m_intensity_init_ESM,m_intensity_pers_ESM,m_intensity_inhi_ESM,m_success_all_ESM,m_success_init_ESM,m_success_pers_ESM,m_success_inhi_ESM,DemSex,DemAge,DemStudent3,bfi1,bfi2,bfi3,bfi10,bfi11,bfi12,ipc1_1,ipc1_2,ipc1_3,ipc1_4,ipc1_5,ipc1_6,ipc1_7,ipc1_8,ipc2_1,ipc2_2,ipc2_3,ipc2_4,ipc2_5,ipc2_6,ipc2_7,ipc2_8,ipc3_1,ipc3_2,ipc3_3,ipc3_4,ipc3_5,ipc3_6,ipc3_7,ipc3_8,ipc4_1,ipc4_2,ipc4_3,ipc4_4,ipc4_5,ipc4_6,ipc4_7,ipc4_8,ipc5_1,ipc5_2,ipc5_3,ipc5_4,ipc5_5,ipc5_6,ipc5_7,ipc5_8,ipc6_1,ipc6_2,ipc6_3,ipc6_4,ipc6_5,ipc6_6,ipc6_7,ipc6_8,bisbas8,bisbas13,bisbas16,bisbas19,bisbas22,bisbas24,bisbas3,bisbas9,bisbas12,bisbas21,bisbas4,bisbas7,bisbas18,bisbas23,bisbas14,bisbas5,bisbas10,bisbas15,bisbas20,ERQ1,ERQ3,ERQ5,ERQ7,ERQ8,ERQ10,ERQ2,ERQ4,ERQ6,ERQ9,bisf1,bisf2,bisf3,bisf4,bisf5,bisf6,bisf7,bisf8,bisf9,bisf10,bisf11,bisf12,bisf13,bisf14,bisf15,ips1,ips2,ips3,ips4,ips5,ips6,ips7,ips8,ips9,stst1,stst2,stst3,stst4,stst5,stst6,stst7,stst8,stst9,stst10,stst11,stst12,stst13,stst14,stst15,stst16,stst17,hoyle1,hoyle2,hoyle3,hoyle4,hoyle5,hoyle6,hoyle7,hoyle8,hoyle9,hoyle10,hoyle11,hoyle12,hoyle13,hoyle14,hoyle15,hoyle16,hoyle17,hoyle18,hoyle19,hoyle20,scs01,scs02,scs03,scs04,scs05,scs06,scs07,scs08,scs09,scs10,scs11,scs12,scs13,MISCS20,MISCS11,MISCS21,MISCS18,MISCS4,MISCS12,MISCS2,MISCS15,MISCS19,MISCS23,MISCS25,MISCS26
12,69,13,10,2,1,0.18840579710144928,0.14492753623188406,0.028985507246376812,0.014492753623188406,5.076923076923077,5,5.5,5,4.615384615384615,5.25,2.25,3,1,22,Y,1,3,2,3,2,2,6,6,5,6,5,6,6,6,7,5,6,6,6,6,6,2,6,6,5,6,6,6,7,6,5,5,3,5,6,6,4,6,3,2,5,2,5,2,3,3,6,6,6,5,3,5,4,5,5,5,5,5,4,5,5,3,3,5,6,6,6,5,5,5,4,4,3,6,6,6,6,6,6,6,1,5,6,4,4,4,4,5,3,3,5,3,2,2,1,4,5,2,2,3,5,5,5,2,3,2,1,3,2,6,5,5,2,6,5,6,6,3,2,6,6,6,4,6,6,6,6,5,6,7,6,2,3,3,4,5,4,5,5,6,6,3,6,7,6,2,2,6,6,3,5,3,6,6,6,6,4,4,4,5,4,5,4,1,1,3,3,3,2
13,68,9,1,4,4,0.1323529411764706,0.014705882352941176,0.058823529411764705,0.058823529411764705,4,5,5,3,4.5,4.5,4.25,4.7,2,22,Y,4,4,4,5,3,3,5,3,6,5,5,5,6,6,4,3,2,6,4,3,1,1,5,6,6,5,5,3,5,3,4,5,3,5,3,6,6,5,5,3,6,5,6,5,3,2,3,5,5,5,4,3,3,5,6,6,5,6,7,5,6,6,6,7,5,5,6,5,5,5,5,5,6,5,5,5,5,5,5,4,5,4,3,5,5,5,5,2,2,2,3,2,2,5,6,4,4,5,6,3,4,5,5,4,3,3,2,7,5,4,3,7,4,6,6,4,5,3,1,4,4,4,5,6,6,6,6,3,3,4,4,3,3,4,4,5,5,6,5,5,6,3,4,5,6,3,7,3,3,4,3,4,5,4,3,4,4,4,3,4,3,4,3,4,4,4,4,3,4
15,59,15,5,7,3,0.2542372881355932,0.0847457627118644,0.11864406779661017,0.05084745762711865,2.6666666666666665,3,2.5714285714285716,2.3333333333333335,4.733333333333333,4,5.142857142857143,5,2,NA,Y,3,3,3,5,5,4,5,4,4,5,4,5,5,5,2,3,1,3,6,5,4,3,6,6,6,6,6,4,4,6,3,4,5,3,3,4,4,5,3,4,4,3,4,4,4,3,4,6,4,5,2,3,2,2,5,5,6,6,6,7,5,5,5,5,6,6,6,6,6,4,5,4,6,5,6,4,5,5,5,3,3,2,3,5,5,5,5,5,3,3,2,3,3,5,5,4,4,4,5,4,6,5,6,4,5,6,4,3,6,3,6,4,6,5,6,2,5,2,2,6,6,6,6,6,4,3,5,2,2,5,3,2,3,2,2,4,4,2,5,4,5,3,5,4,5,3,2,3,2,1,2,4,5,2,4,5,4,3,4,3,3,3,4,4,3,2,2,3,3
16,68,11,6,5,0,0.16176470588235295,0.08823529411764706,0.07352941176470588,NA,4.363636363636363,4.5,4.2,NA,3.6363636363636362,3.4166666666666665,3.9,NA,2,20,Y,2,2,3,5,2,3,4,4,3,4,6,5,5,6,4,2,2,4,5,4,3,3,6,6,6,6,6,5,5,5,5,5,3,4,5,5,5,3,2,3,5,2,5,3,3,2,5,4,3,4,3,2,3,3,6,6,5,5,6,6,5,4,5,5,6,6,6,5,5,6,5,5,5,5,5,2,5,4,5,3,2,2,5,5,5,5,5,5,2,2,3,5,4,5,4,4,4,4,6,3,6,5,5,4,5,6,3,2,3,3,6,3,3,5,5,5,5,3,3,3,3,2,4,5,5,3,5,4,3,4,5,2,2,2,3,3,3,3,4,5,4,3,4,5,5,3,2,5,3,1,3,4,4,4,3,3,3,3,3,3,2,4,3,2,2,2,2,3,2
17,39,9,5,2,2,0.23076923076923078,0.1282051282051282,0.05128205128205128,0.05128205128205128,4.333333333333333,4,4.5,5,5.888888888888889,5.9,5.75,6,2,20,Y,2,2,5,5,1,3,4,6,6,7,6,6,6,7,3,6,6,7,6,7,4,4,7,7,6,7,7,7,6,6,7,7,7,5,6,6,7,6,6,5,7,4,4,6,6,3,7,6,6,6,4,7,6,6,5,7,6,7,5,5,7,5,6,6,7,7,7,5,5,6,6,3,4,6,2,2,3,2,2,6,1,3,5,3,3,1,2,5,3,2,4,3,1,3,1,2,2,1,2,2,5,4,6,4,3,3,3,3,2,4,6,6,5,5,6,7,6,2,2,2,6,5,5,6,5,5,4,3,4,4,6,3,2,3,4,5,5,6,6,6,6,3,4,7,5,5,6,7,6,6,5,6,5,3,5,6,5,2,4,3,3,5,4,4,4,4,4,5,5
18,65,19,16,0,3,0.2923076923076923,0.24615384615384617,NA,0.046153846153846156,3.789473684210526,3.75,NA,4,5.184210526315789,5.46875,NA,3.6666666666666665,1,26,Y,2,4,2,5,4,2,5,5,3,6,5,6,5,3,6,4,3,3,3,5,3,4,5,6,3,5,6,6,3,5,2,3,2,3,3,5,3,2,3,4,5,2,3,2,3,2,5,6,6,6,6,6,6,5,7,6,3,6,6,7,3,3,3,3,6,5,3,6,5,5,5,3,2,5,6,6,5,6,6,6,5,6,7,3,3,2,1,5,6,6,6,5,2,5,3,3,3,2,6,5,6,6,6,6,5,5,5,3,3,5,5,6,6,6,6,5,3,2,3,5,3,5,6,3,6,6,6,1,6,5,3,3,2,2,3,2,3,2,2,2,2,3,5,5,6,2,2,6,5,1,5,5,3,3,6,2,2,3,4,4,4,5,4,4,3,4,2,4,2
19,63,17,8,6,3,0.2698412698412698,0.12698412698412698,0.09523809523809523,0.047619047619047616,4.588235294117647,4.5,4.833333333333333,4.333333333333333,6.264705882352941,6.4375,6,6.333333333333333,2,23,Y,1,2,4,3,1,2,6,6,6,5,6,6,7,7,6,5,6,6,7,7,4,5,7,7,6,7,7,7,6,7,7,7,6,6,6,6,6,5,6,6,6,7,7,6,7,6,5,6,6,6,4,6,3,5,6,6,6,7,5,6,7,6,6,7,7,6,7,6,6,6,5,4,6,6,7,5,6,5,5,2,1,2,3,5,5,3,3,2,2,1,2,1,1,3,2,2,2,2,1,1,2,1,2,2,2,2,1,6,4,5,6,6,6,7,6,6,6,5,3,4,6,6,5,7,6,6,7,6,7,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,7,6,6,6,6,2,6,6,6,6,7,4,4,4,4,4,3,3,4,4,3,4,4
20,73,67,23,25,19,0.9178082191780822,0.3150684931506849,0.3424657534246575,0.2602739726027397,4.8059701492537314,4.695652173913044,4.88,4.842105263157895,4.462686567164179,4.391304347826087,4.44,4.578947368421052,2,19,Y,4,2,3,4,3,5,4,5,5,4,3,5,4,6,5,6,6,7,7,7,6,6,6,7,6,6,6,6,5,5,5,5,6,5,6,6,4,4,5,3,6,5,6,5,5,6,4,3,3,4,3,5,3,3,7,7,6,6,6,6,6,5,5,6,6,6,7,5,6,6,4,4,4,3,6,5,3,4,5,2,2,3,5,5,5,5,6,7,5,5,5,6,5,6,4,4,3,5,3,2,3,2,5,4,1,2,2,3,3,4,6,2,3,1,2,7,4,3,2,1,2,3,4,3,2,2,3,3,3,2,3,4,6,5,5,2,5,6,5,7,5,5,5,5,2,3,5,4,3,2,4,3,3,3,2,2,4,2,3,3,3,4,2,2,2,4,2,2,2
21,56,27,25,1,1,0.48214285714285715,0.44642857142857145,0.017857142857142856,0.017857142857142856,4.444444444444445,4.52,4,3,6.2407407407407405,6.28,4.5,7,2,25,Y,1,1,4,5,2,2,4,4,5,6,5,5,6,7,5,5,3,7,6,6,2,5,7,7,6,7,7,7,6,6,7,7,6,6,7,5,5,6,3,3,6,5,5,5,3,2,3,7,6,6,5,3,3,3,7,7,7,7,5,7,7,5,5,7,6,6,4,4,5,6,4,2,7,2,2,2,3,2,3,7,3,7,7,3,3,3,1,6,1,1,3,2,1,2,1,3,2,2,5,5,5,3,5,3,3,3,3,3,2,5,3,3,7,3,5,7,6,3,1,3,5,5,3,6,3,3,4,2,3,6,5,3,3,3,3,5,4,5,6,6,6,6,5,6,3,3,6,7,6,3,3,6,6,2,6,3,7,2,5,3,5,3,4,4,3,2,3,4,3
22,68,15,3,10,2,0.22058823529411764,0.04411764705882353,0.14705882352941177,0.029411764705882353,3.466666666666667,4,2.9,5.5,5.833333333333333,4.666666666666667,6.3,5.25,1,20,Y,3,3,4,3,1,2,6,7,6,7,7,6,6,6,7,3,7,2,7,6,5,5,7,7,6,7,7,7,7,7,6,6,2,3,3,6,4,2,2,2,6,2,6,2,2,7,6,7,6,7,3,6,4,5,1,6,5,6,4,6,4,5,6,5,6,6,5,7,6,7,5,5,6,3,3,3,3,3,3,5,1,5,6,5,5,3,2,2,5,5,5,4,2,5,4,5,5,2,5,2,2,2,6,3,1,5,1,5,6,3,6,7,6,7,6,7,6,5,5,6,6,5,6,6,5,5,6,7,6,7,6,3,3,3,5,5,3,5,6,7,7,5,6,7,6,7,3,7,3,3,3,3,6,5,5,3,2,4,4,5,4,5,4,2,2,1,1,2,1
